Entity1;Entity2;ClickstreamEnt1Ent2;PopularityEnt1;PopularityEnt2;PopularityDiff;PopularitySum;CosineSimilarityEnt1Ent2;DBpediaSimilarityEnt1Ent2;DBpediaRelatednessEnt1Ent2;PalmaInterestingnessEnt1Ent2;Int_Hum_Eval;ground truth (threshold 0.79);ground truth confidence values
Alexander_the_Great'; 'Lycia';17;113391.33;6867.13;106524.2;120258.46;0.43;0.13;0.32;4.39;1;0;0.79
Alexander_the_Great'; 'Muhammad';14;113391.33;323084.03;209692.7;436475.36;0.43;0.33;0.44;4.41;1;0;0.78
Alexander_the_Great'; 'Kausia';35;113391.33;763.16;112628.17;114154.49;0.3;0.14;0.43;7.59;1;1;0.88
Alexander_the_Great'; 'Dardanelles';128;113391.33;18547.06;94844.27;131938.39;0.32;0.18;0.45;4.99;0;1;0.86
Alexander_the_Great'; 'Barsine';448;113391.33;791.91;112599.42;114183.24;0.4;0.35;0.37;1.14;1;1;0.86
Alexander_the_Great'; 'Gordian_Knot';710;113391.33;11994.67;101396.66;125386;0.47;0.09;0.39;2.62;1;1;0.86
Alexander_the_Great'; 'Menander_I';14;113391.33;1947.67;111443.66;115339;0.37;0.54;0.34;0.39;0;1;0.85
Alexander_the_Great'; 'Iran';20;113391.33;241967.26;128575.93;355358.59;0.48;0.16;0.76;10.71;1;0;0.79
Alexander_the_Great'; 'Second_Persian_invasion_of_Greece';55;113391.33;5305.33;108086;118696.66;0.33;0.09;0.29;4.74;0;1;0.83
Alexander_the_Great'; 'Greek_Anthology';13;113391.33;529.67;112861.66;113921;0.39;0.13;0.47;9.39;0;1;0.83
Alexander_the_Great'; 'Alexander_I_of_Epirus';36;113391.33;455.33;112936;113846.66;0.45;0.53;0.32;1.32;0;1;0.85
Alexander_the_Great'; 'League_of_Corinth';1322;113391.33;1823.67;111567.66;115215;0.3;0.09;0.23;2.25;0;0;0.79
Alexander_the_Great'; 'Gilgamesh';11;113391.33;53362.5;60028.83;166753.83;0.25;0.49;0.46;5.31;1;1;0.86
Alexander_the_Great'; 'Nectanebo_II';16;113391.33;1223;112168.33;114614.33;0.32;0.81;0.35;2.52;1;1;0.83
Alexander_the_Great'; 'Potidaea';72;113391.33;870.93;112520.4;114262.26;0.31;0.12;0.39;5.91;1;1;0.86
Alexander_the_Great'; 'Koine_Greek';24;113391.33;7660.33;105731;121051.66;0.37;0.14;0.35;5.49;0;0;0.77
Alexander_the_Great'; 'Priene_Inscription';11;113391.33;118.33;113273;113509.66;0.31;0.23;0.4;7.89;1;1;0.82
Alexander_the_Great'; 'Nearchus';385;113391.33;878.42;112512.91;114269.75;0.44;0.35;0.28;0.2;1;1;0.82
Alexander_the_Great'; 'Antioch';16;113391.33;31288.5;82102.83;144679.83;0.42;0.13;0.33;4.95;0;1;0.88
Alexander_the_Great'; 'Pillars_of_Hercules';153;113391.33;5438.67;107952.66;118830;0.3;0.19;0.48;5.26;1;1;0.86
Alexander_the_Great'; 'Philostratus_of_Lemnos';10;113391.33;107.33;113284;113498.66;0.2;0.31;0.51;11.63;1;0;0.66
Alexander_the_Great'; 'Pausanias_of_Orestis';372;113391.33;1176;112215.33;114567.33;0.35;0.33;0.32;1.1;1;0;0.66
Alexander_the_Great'; 'Kaaba';29;113391.33;53085.26;60306.07;166476.59;0.36;0.15;0.51;7.95;1;0;0.79
Alexander_the_Great'; 'Battle_of_the_Uxian_Defile';84;113391.33;166.33;113225;113557.66;0.5;0.1;0.24;0.87;0;0;0.77
Alexander_the_Great'; 'Battle_of_Thebes';967;113391.33;722;112669.33;114113.33;0.53;0.1;0.31;1.18;0;1;0.8
